tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,name_localizedValue0,usertype,birth year,gender
337,2018-03-01 00:07:05,2018-03-01 00:12:43,261,Johnson St & Gold St,40.69474881,-73.98362464,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,18331,Annual Membership,Subscriber,1971,1
1213,2018-03-01 00:07:10,2018-03-01 00:27:24,450,W 49 St & 8 Ave,40.76227205,-73.98788205,3534,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,30913,Annual Membership,Subscriber,1981,1
203,2018-03-01 00:07:11,2018-03-01 00:10:35,3298,Warren St & Court St,40.686371,-73.99383324,3329,Degraw St & Smith St,40.6829151,-73.99318208,31254,Annual Membership,Subscriber,1973,1
237,2018-03-01 00:07:22,2018-03-01 00:11:19,358,Christopher St & Greenwich St,40.73291553,-74.00711384,3256,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,31061,Annual Membership,Subscriber,1994,2
336,2018-03-01 00:07:46,2018-03-01 00:13:22,279,Peck Slip & Front St,40.707873,-74.00167,259,South St & Whitehall St,40.70122128,-74.01234218,30699,$25 Off Annual Membership,Subscriber,1990,1
181,2018-03-01 00:08:07,2018-03-01 00:11:08,2008,Little West St & 1 Pl,40.70569254,-74.01677685,3002,South End Ave & Liberty St,40.711512,-74.015756,26542,Join Citi Bike for $14.95/month,Subscriber,1962,1
176,2018-03-01 00:08:09,2018-03-01 00:11:05,3585,Union St & Bedford Ave,40.6691783,-73.9554162,3571,Bedford Ave & Bergen St,40.676368,-73.952918,25672,Annual Membership,Subscriber,1981,1
474,2018-03-01 00:08:11,2018-03-01 00:16:05,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,401,Allen St & Rivington St,40.72019576,-73.98997825,32703,Annual Membership,Subscriber,1989,1
336,2018-03-01 00:08:19,2018-03-01 00:13:55,462,W 22 St & 10 Ave,40.74691959,-74.00451887,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,26706,Annual Membership,Subscriber,1979,1
430,2018-03-01 00:08:25,2018-03-01 00:15:36,285,Broadway & E 14 St,40.73454567,-73.99074142,237,E 11 St & 2 Ave,40.73047309,-73.98672378,30994,Annual Membership - Save 15%,Subscriber,1983,2
238,2018-03-01 00:08:29,2018-03-01 00:12:27,251,Mott St & Prince St,40.72317958,-73.99480012,293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,25492,$25 Off Annual Membership,Subscriber,1992,1
100,2018-03-01 00:08:33,2018-03-01 00:10:13,217,Old Fulton St,40.70277159,-73.99383605,407,Henry St & Poplar St,40.700469,-73.991454,30658,Join Citi Bike for $14.95/month,Subscriber,1989,1
1128,2018-03-01 00:08:37,2018-03-01 00:27:25,3085,Roebling St & N 4 St,40.71469,-73.95739,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,27588,Annual Membership,Subscriber,1987,1
413,2018-03-01 00:08:51,2018-03-01 00:15:44,435,W 21 St & 6 Ave,40.74173969,-73.99415556,462,W 22 St & 10 Ave,40.74691959,-74.00451887,29804,Join Citi Bike for $14.95/month,Subscriber,1987,1
364,2018-03-01 00:08:55,2018-03-01 00:15:00,82,St James Pl & Pearl St,40.71117416,-74.00016545,312,Allen St & Stanton St,40.722055,-73.989111,28503,Annual Membership,Subscriber,1993,1
350,2018-03-01 00:08:59,2018-03-01 00:14:50,3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,3122,48 Ave & 5 St,40.744363287066875,-73.9558732509613,21108,Annual Membership,Subscriber,1977,1
153,2018-03-01 00:09:04,2018-03-01 00:11:38,2000,Front St & Washington St,40.70255088,-73.98940236,2000,Front St & Washington St,40.70255088,-73.98940236,18394,Annual Membership,Subscriber,1987,1
748,2018-03-01 00:09:07,2018-03-01 00:21:35,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,546,E 30 St & Park Ave S,40.74444921,-73.98303529,25489,Annual Membership,Subscriber,1982,1
533,2018-03-01 00:09:26,2018-03-01 00:18:19,527,E 33 St & 2 Ave,40.744023,-73.976056,498,Broadway & W 32 St,40.74854862,-73.98808416,14921,Annual Membership,Subscriber,1985,1
915,2018-03-01 00:09:46,2018-03-01 00:25:02,285,Broadway & E 14 St,40.73454567,-73.99074142,312,Allen St & Stanton St,40.722055,-73.989111,18160,Annual Membership,Subscriber,1991,1
311,2018-03-01 00:09:50,2018-03-01 00:15:02,514,12 Ave & W 40 St,40.76087502,-74.00277668,72,W 52 St & 11 Ave,40.76727216,-73.99392888,18350,Annual Membership,Subscriber,1988,1
1079,2018-03-01 00:09:54,2018-03-01 00:27:54,536,1 Ave & E 30 St,40.74144387,-73.97536082,499,Broadway & W 60 St,40.76915505,-73.98191841,31165,Annual Membership,Subscriber,1986,1
531,2018-03-01 00:10:04,2018-03-01 00:18:56,507,E 25 St & 2 Ave,40.73912601,-73.97973776,445,E 10 St & Avenue A,40.72740794,-73.98142006,32061,Annual Membership,Subscriber,1994,1
1062,2018-03-01 00:10:11,2018-03-01 00:27:53,492,W 33 St & 7 Ave,40.75019995,-73.99093085,3447,E 71 St & 1 Ave,40.76703432309872,-73.95622730255127,19294,Annual Membership,Subscriber,1984,1
942,2018-03-01 00:10:12,2018-03-01 00:25:55,479,9 Ave & W 45 St,40.76019252,-73.9912551,3142,1 Ave & E 62 St,40.7612274,-73.96094022,25522,Annual Membership,Subscriber,1987,1
539,2018-03-01 00:10:11,2018-03-01 00:19:11,3581,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,18575,Annual Membership,Subscriber,1971,1
599,2018-03-01 00:10:17,2018-03-01 00:20:17,303,Mercer St & Spring St,40.72362738,-73.99949601,349,Rivington St & Ridge St,40.71850211,-73.98329859,28648,Annual Membership,Subscriber,1986,1
436,2018-03-01 00:10:24,2018-03-01 00:17:40,490,8 Ave & W 33 St,40.751551,-73.993934,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,18766,Annual Membership,Subscriber,1960,2
776,2018-03-01 00:10:24,2018-03-01 00:23:21,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,24987,Annual Membership - Save 15%,Subscriber,1980,1
1448,2018-03-01 00:10:24,2018-03-01 00:34:33,3581,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457,3417,Baltic St & 5 Ave,40.6795766,-73.97854971,16421,FREE Bonus Month with Annual Membership,Subscriber,1984,2
62,2018-03-01 00:10:36,2018-03-01 00:11:38,515,W 43 St & 10 Ave,40.76009437,-73.99461843,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,28744,Annual Membership,Subscriber,1985,1
875,2018-03-01 00:10:39,2018-03-01 00:25:15,3160,Central Park West & W 76 St,40.77896784,-73.97374737,3151,E 81 St & York Ave,40.7728384,-73.94989233,30873,Annual Membership,Subscriber,1985,1
931,2018-03-01 00:10:40,2018-03-01 00:26:11,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,317,E 6 St & Avenue B,40.72453734,-73.98185424,18220,Annual Membership,Subscriber,1981,1
329,2018-03-01 00:10:44,2018-03-01 00:16:14,3082,Hope St & Union Ave,40.71167351,-73.95141312,3096,Union Ave & N 12 St,40.71924,-73.95242,25888,$25 Off Annual Membership,Subscriber,1986,1
769,2018-03-01 00:10:59,2018-03-01 00:23:49,445,E 10 St & Avenue A,40.72740794,-73.98142006,472,E 32 St & Park Ave,40.7457121,-73.98194829,31851,$25 Off Annual Membership,Subscriber,1992,1
312,2018-03-01 00:10:57,2018-03-01 00:16:10,513,W 56 St & 10 Ave,40.768254,-73.988639,479,9 Ave & W 45 St,40.76019252,-73.9912551,21337,Annual Membership,Subscriber,1984,1
